adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/73BClq9FOcrWrutnpiqhCNEWEwJ.jpg,"[18, 10749, 36]",858024,en,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",78.1873,/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg,2025-11-26,Hamnet,False,7.727,703
False,/oN4TQ1TxchynXlFiXFBL3NHLT54.jpg,"[16, 10751, 18]",1167307,en,David,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",63.1524,/bESlrLOrsQ9gKzaGQGHXKOyIUtX.jpg,2025-12-14,David,False,8.1,91
False,/oN4TQ1TxchynXlFiXFBL3NHLT54.jpg,"[16, 10751, 18]",1167307,en,David,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",63.1524,/bESlrLOrsQ9gKzaGQGHXKOyIUtX.jpg,2025-12-14,David,False,8.1,91
False,/dHSz0tSFuO2CsXJ1CApSauP9Ncl.jpg,"[53, 80, 9648]",425274,en,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",59.9402,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,2025-11-12,Now You See Me: Now You Don't,False,6.527,1085
False,/AecGG1XVCmkk7fT10ko3FC0dLIP.jpg,"[14, 28, 53]",1043197,en,Dust Bunny,"Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real.",60.0587,/vobigFZFvbYPf6ElYJu07P9rH8C.jpg,2025-12-11,Dust Bunny,False,6.622,178
False,/gbjK8p5S1aLXWCwOoXqr9aWZvqG.jpg,"[16, 10751, 35, 12, 14]",991494,en,The SpongeBob Movie: Search for SquarePants,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",66.3427,/xJnOMMsFASxNiFnG7v3TNIQ3ife.jpg,2025-12-16,The SpongeBob Movie: Search for SquarePants,False,6.7,211
False,/okVPfrSx6RopERpOqMnVzpD50ey.jpg,"[27, 53]",241258,en,Incarnate,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,54.2032,/8j8PLnghBHpDEGfANNh8wc5cT4F.jpg,2016-12-01,Incarnate,False,5.451,592
False,/gQimJqYMKCkwHIo8wwYKhmnCfBr.jpg,"[28, 80, 53]",1242501,en,Icefall,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts.",55.1766,/5Byv6nznAb2Izd0gHpODOXnuSbo.jpg,2025-10-16,Icefall,False,6.4,133
False,/pGFQCp12a8andfPlpnmXz44IIvY.jpg,"[878, 28, 12]",24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",54.3753,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,2012-04-25,The Avengers,False,7.949,36056
False,/oKKpryjqqKaohQe9SbnjyEhEVky.jpg,"[35, 18]",60238,en,Hidden Secrets,"A young man finds himself torn between his current girlfriend and an old flame at a friend's funeral, where lifestyles and attitudes clash over a long weekend.",51.0715,/mcMYNa3p8ZqFr8GuohQwTPdojnA.jpg,2006-10-06,Hidden Secrets,False,4.0,6
False,/tTDfDHqGkRgBTL4Tw8mU0iwkW8T.jpg,[27],1199869,en,Eye for an Eye,"Anna, grieving the sudden death of her parents, relocates from New York to a small Florida town to live with the grandmother she has never met. Isolated, vulnerable, and in need of friends, she finds brief solace in the company of two local teens. But when she becomes complicit to their unforgivable act of violence, she finds herself ensnared by Mr. Sandman – the twisted soul of a tormented child who haunts bullies’ dreams before feasting on their eyeballs when they finally wake - Anna must right her wrong before becoming a victim of this gruesome curse.",57.4466,/lpepbfVziHJLhVoxTEKs8ok00iu.jpg,2025-07-03,Eye for an Eye,False,5.613,31
False,/6YjnTRBz704LF1uJ3ZC4wsS9T8r.jpg,"[28, 80, 53]",1290821,en,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",52.853,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,2026-01-28,Shelter,False,7.3,52
False,/AupBUhnJEFedxF4vQ82LU9rOXDC.jpg,"[16, 18, 10751, 14]",587370,cs,Pohádky po babičce,"Tom (4 years old), Suzanne (8) and Derek (10) spend the weekend with their grandparents. But nothing is as usual: Grandpa seems to be elsewhere; Tom wonders where Grandma has gone, she who always tells him incredible stories; Derek is hard at work renovating the old apple tree hut. So following in the footsteps of her ancestor, Suzanne improvises herself as a storyteller to illuminate the house with imaginary and wonderful stories and try to fill the absence of Grandmother. The movie is an adaptation of three tales written by Arnost Goldflam.",51.8333,/6LZJKktqh9jTL27vMU6oxzdvB3W.jpg,2025-11-06,Tales from the Magic Garden,False,5.0,5
False,/kuxLjp8ufk066O5YyNU116iVku7.jpg,"[18, 80]",48838,en,London Boulevard,A parolee falls for a reclusive movie star while trying to evade a ruthless gangster.,47.61,/naQKmThKMtlur92CDgCP6b9aoQE.jpg,2010-11-10,London Boulevard,False,5.892,799
False,/ez8EB8pWGZYDWx9OEVqDR5r9hQc.jpg,"[27, 53]",1503900,en,Die'ced: Reloaded,"Benny escapes an asylum on Halloween, masked as a scarecrow and hungry for blood. In 1980s Seattle, the hunt is on - and no one is safe.",46.0261,/haFDZfpKszHq7DXvuQd5Zz7shQW.jpg,2025-08-08,Die'ced: Reloaded,False,5.389,9
False,/atvDTVtj88v2YEjwZ20Jsr0P8nk.jpg,"[18, 53]",1193128,ar,قضية الغرباء,"A Syrian doctor and her daughter flee Aleppo, setting off a chain of events that binds five strangers together. A smuggler, a soldier, a poet, and a coast guard captain collide in a crisis that tests their courage, their choices, and their humanity.",56.7326,/RBIrEveMOIy5Kxg2WzgMnCIhaN.jpg,2025-12-31,I Was a Stranger,False,6.375,8
False,/r33gYNIvKen1ocWBsAwg8avGjwH.jpg,[18],220493,en,Sal,"James Franco's Sal chronicles the final hours of the life of actor Sal Mineo, one-time teen idol and star of the blockbuster films Rebel Without a Cause and Exodus.",47.7678,/v1AhGdqmaMC0354q2oVHCgH3d6z.jpg,2013-11-01,Sal,False,3.471,17
False,/nIh7npgLTsZyBl7TQpibZsz4hQH.jpg,[18],284276,en,Cake,"After having visions of a member of her support group who killed herself, a woman who also suffers with chronic pain seeks out the widower of the suicide.",45.4225,/5GJEZovjtKisJxNMG6fBTCxNzZi.jpg,2014-09-07,Cake,False,6.27,927
False,/be5SIsRGMckO8tU9lrLcIik70Dy.jpg,"[27, 14, 10749]",1246049,fr,Dracula,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.",48.9588,/libhghrUSBSEdHgF9uP1SQES0nQ.jpg,2025-07-30,Dracula,False,7.137,874
False,/vMxOmgmBGegjVObjlb8ugsjGgkD.jpg,"[10752, 28, 18]",1252037,de,Der Tiger,"A German Tiger tank crew is sent on a dangerous mission to rescue the missing officer Paul von Hardenburg from a top-secret bunker behind enemy lines. As they make their way through the lethal no-man's land, they must confront not only the enemy, but also their own fears and inner demons. Fueled by the Wehrmacht's methamphetamine, their mission increasingly becomes a journey into the heart of darkness.",51.786,/65Jr1JAgWlu9em8zHhAfrNJJQBt.jpg,2025-09-18,The Tank,False,7.089,347
False,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,"[14, 10402, 35, 16]",803796,en,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",48.8123,/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg,2025-06-20,KPop Demon Hunters,False,8.083,2416
False,/hO2jx1H3XafR7Y8QbFgVH1sHTY9.jpg,"[27, 53, 35]",1198994,en,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",47.7702,/kL4MgAIZIYX3sCeG34N0XfVhCtt.jpg,2026-01-22,Send Help,False,7.1,314
False,/2OHa6ukEq3Hce7Pc2kvu8wkmMFY.jpg,"[28, 12, 53, 80, 18]",7451,en,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",44.3722,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,2002-08-09,xXx,False,5.978,4795
False,/2ssWTSVklAEc98frZUQhgtGHx7s.jpg,"[12, 18, 878]",157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,45.2497,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,Interstellar,False,8.467,38935
False,/vG6DVxzey4NKE1B5X5aGglpdHNK.jpg,"[35, 10751]",1460448,es,Cuerpos locos,"A 10-year-old girl, Ana, and her future stepmother Sara, who's about to marry her father, switch bodies due to strange magic during an unusual weather phenomenon.",53.325,/t6SoxUVENVxGxJWdiGBQs4izkAx.jpg,2025-10-31,Cuerpos locos,False,5.1,5
False,/gre7gyocZSuwd7M51CGlqsJqBmB.jpg,"[53, 80, 28]",1054867,en,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",43.2502,/lbBWwxBht4JFP5PsuJ5onpMqugW.jpg,2025-09-23,One Battle After Another,False,7.412,2876
False,/538U9snNc2fpnOmYXAPUh3zn31H.jpg,"[28, 53, 12]",575265,en,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",36.3533,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,2025-05-17,Mission: Impossible - The Final Reckoning,False,7.188,2575
False,/dbr3eceKuGnKc9v5GaVTVtegZNK.jpg,[35],1243460,en,Joe's College Road Trip,"To teach his sheltered grandson about the real world, Madea's foul-mouthed brother Joe takes the college-bound teen on a raucous cross-country road trip.",35.768,/jWGOCUlzF4aCVLwHoiuqWWfhcrA.jpg,2026-02-12,Joe's College Road Trip,False,5.6,44
False,/tSPT36ZKlP2WVHJLM4cQPLSzv3b.jpg,"[18, 80]",238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.4528,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,The Godfather,False,8.687,22489
False,/54BOXpX2ieTXMDzHymdDMnUIzYG.jpg,"[27, 53]",1228246,en,Five Nights at Freddy's 2,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",41.6546,/udAxQEORq2I5wxI97N2TEqdhzBE.jpg,2025-12-03,Five Nights at Freddy's 2,False,6.7,763
False,/fAF3VGFBpItWNROmiGob60n0y5.jpg,[27],1242937,en,The Dreadful,"In medieval England, Anne and her domineering mother-in-law Morwen struggle to survive on the outskirts of society. But when a man from Anne's past returns from war, a curse begins to take shape through a mysterious knight and threatens to destroy them all.",39.3727,/hGH8Ji7pG2ytHxo7ABqHM3TpzFA.jpg,2026-02-20,The Dreadful,False,7.196,23
False,/yWCZc2TcsCYbMMjvUIsczmQi2TX.jpg,"[27, 9648, 80]",1159559,en,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",40.9483,/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,2026-02-25,Scream 7,False,5.5,4
False,/scSdtpKbReIasH0HSSpFNQPmmZa.jpg,"[28, 12, 18]",166680,en,Avalanche,"After an avalanche of snow crashes into their ski resort, a holiday at a winter wonderland turns into a game of survival for a group of vacationers.",38.3296,/zMORD6VDGIWo5thfMuA4Edb1mbj.jpg,1978-09-29,Avalanche,False,3.556,72
False,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,"[28, 12, 14, 878]",19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",37.3012,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,2009-12-16,Avatar,False,7.6,33490
False,/vuUDwAi9UgLyNN9xZLtKTaLQWnl.jpg,"[80, 53, 35]",639988,ko,어쩔수가없다,"After being laid off and humiliated by a ruthless job market, a veteran paper mill manager descends into violence in a desperate bid to reclaim his dignity.",39.6953,/sBpxTGLzKnvPSVtL5yQYpSxvKEb.jpg,2025-09-24,No Other Choice,False,7.6,716
False,/fc2mifxyCXyr66FMSmsfUXVREEg.jpg,"[18, 10749, 53]",11065,en,O,"Even though he's the only black student at the elite Palmetto Grove Academy, star basketball player Odin James has the adoration of all, including the team's coach and the Dean's beautiful daughter Desi. Odin's troubled friend Hugo, the coach's son, deeply resentful of his father's preference of Odin on and off the court, plots a diabolical scheme to sow the seed of mistrust between O and Desi, setting in motion a disturbing chain of events which erupts into a firestorm of breathtaking intensity.",38.7943,/u8mFQU3YwNvZWcATncaAHUfEEMr.jpg,2001-08-31,O,False,5.9,301
